device_number,device_type,contract_plan,active
USB-001,USB,5GB/月,1
USB-002,USB,10GB/月,1
USB-T001,USB,5GB/月,1
USB-T003,USB,無制限,1
USB-T005,USB,5GB/月,1
USB-T007,USB,無制限,1
USB-T009,USB,5GB/月,1
USB-T011,USB,無制限,1
USB-T013,USB,5GB/月,1
USB-T015,USB,無制限,1
USB-T017,USB,5GB/月,1
USB-T019,USB,無制限,1
USB-T021,USB,5GB/月,1
USB-T023,USB,無制限,1
USB-T025,USB,5GB/月,1
USB-T027,USB,無制限,1
USB-T029,USB,5GB/月,1
USB-T031,USB,無制限,1
USB-T033,USB,5GB/月,1
USB-T035,USB,無制限,1
USB-T037,USB,5GB/月,1
USB-T039,USB,無制限,1
USB-T041,USB,5GB/月,1
USB-T043,USB,無制限,1
USB-T045,USB,5GB/月,1
USB-T047,USB,無制限,1
USB-T049,USB,5GB/月,1
USB-T051,USB,無制限,1
USB-T053,USB,5GB/月,1
USB-T055,USB,無制限,1
USB-T057,USB,5GB/月,1
USB-T059,USB,無制限,1
USB-T061,USB,5GB/月,1
USB-T063,USB,無制限,1
USB-T065,USB,5GB/月,1
USB-T067,USB,無制限,1
USB-T069,USB,5GB/月,1
USB-T071,USB,無制限,1
USB-T073,USB,5GB/月,1
USB-T075,USB,無制限,1
WIFI-001,WiFi,無制限,1
WIFI-002,WiFi,50GB/月,1
WIFI-003,WiFi,無制限,1
WIFI-T002,WiFi,10GB/月,1
WIFI-T004,WiFi,50GB/月,1
WIFI-T006,WiFi,10GB/月,1
WIFI-T008,WiFi,50GB/月,1
WIFI-T010,WiFi,10GB/月,1
WIFI-T012,WiFi,50GB/月,1
WIFI-T014,WiFi,10GB/月,1
WIFI-T016,WiFi,50GB/月,1
WIFI-T018,WiFi,10GB/月,1
WIFI-T020,WiFi,50GB/月,1
WIFI-T022,WiFi,10GB/月,1
WIFI-T024,WiFi,50GB/月,1
WIFI-T026,WiFi,10GB/月,1
WIFI-T028,WiFi,50GB/月,1
WIFI-T030,WiFi,10GB/月,1
WIFI-T032,WiFi,50GB/月,1
WIFI-T034,WiFi,10GB/月,1
WIFI-T036,WiFi,50GB/月,1
WIFI-T038,WiFi,10GB/月,1
WIFI-T040,WiFi,50GB/月,1
WIFI-T042,WiFi,10GB/月,1
WIFI-T044,WiFi,50GB/月,1
WIFI-T046,WiFi,10GB/月,1
WIFI-T048,WiFi,50GB/月,1
WIFI-T050,WiFi,10GB/月,1
WIFI-T052,WiFi,50GB/月,1
WIFI-T054,WiFi,10GB/月,1
WIFI-T056,WiFi,50GB/月,1
WIFI-T058,WiFi,10GB/月,1
WIFI-T060,WiFi,50GB/月,1
WIFI-T062,WiFi,10GB/月,1
WIFI-T064,WiFi,50GB/月,1
WIFI-T066,WiFi,10GB/月,1
WIFI-T068,WiFi,50GB/月,1
WIFI-T070,WiFi,10GB/月,1
WIFI-T072,WiFi,50GB/月,1
WIFI-T074,WiFi,10GB/月,1
