user_id,name,role,retired
admin01,情報企画 管理者,admin,0
demo001,織田 信長,user,0
demo002,豊臣 秀吉,user,0
demo003,徳川 家康,user,0
demo004,武田 信玄,user,0
demo005,上杉 謙信,user,0
demo006,毛利 元就,user,0
demo007,伊達 政宗,user,0
demo008,北条 氏康,user,0
demo009,島津 義弘,user,0
demo010,長宗我部 元親,user,0
demo011,明智 光秀,user,0
demo012,柴田 勝家,user,0
demo013,丹羽 長秀,user,0
demo014,滝川 一益,user,0
demo015,前田 利家,user,0
demo016,佐々 成政,user,0
demo017,豊臣 秀長,user,0
demo018,加藤 清正,user,0
demo019,福島 正則,user,0
demo020,石田 三成,user,0
demo021,大谷 吉継,user,0
demo022,黒田 官兵衛,user,0
demo023,竹中 半兵衛,user,0
demo024,山内 一豊,user,0
demo025,蜂須賀 小六,user,1
demo026,宇喜多 秀家,user,0
demo027,小早川 秀秋,user,0
demo028,小西 行長,user,0
demo029,増田 長盛,user,0
demo030,長束 正家,user,0
demo031,浅野 長政,user,0
demo032,前田 玄以,user,0
demo033,直江 兼続,user,0
demo034,上杉 景勝,user,0
demo035,最上 義光,user,0
demo036,蒲生 氏郷,user,0
demo037,堀 秀政,user,0
demo038,森 長可,user,0
demo039,森 蘭丸,user,0
demo040,池田 恒興,user,0
demo041,池田 輝政,user,0
demo042,細川 忠興,user,0
demo043,細川 幽斎,user,0
demo044,筒井 順慶,user,0
demo045,松永 久秀,user,0
demo046,三好 長慶,user,0
demo047,足利 義昭,user,0
demo048,足利 義輝,user,0
demo049,今川 義元,user,0
demo050,太原 雪斎,user,1
demo051,山県 昌景,user,0
demo052,馬場 信春,user,0
demo053,高坂 昌信,user,0
demo054,内藤 昌豊,user,0
demo055,真田 昌幸,user,0
demo056,真田 信繁,user,0
demo057,真田 信之,user,0
demo058,武田 勝頼,user,0
demo059,甘利 虎泰,user,0
demo060,秋山 信友,user,0
demo061,柿崎 景家,user,0
demo062,甘粕 景持,user,0
demo063,宇佐美 定満,user,0
demo064,斎藤 朝信,user,0
demo065,本庄 繁長,user,0
demo066,北条 高広,user,0
demo067,長尾 政景,user,0
demo068,村上 義清,user,0
demo069,斎藤 道三,user,0
demo070,斎藤 義龍,user,0
demo071,朝倉 義景,user,0
demo072,朝倉 宗滴,user,0
demo073,浅井 長政,user,0
demo074,藤堂 高虎,user,0
demo075,京極 高次,user,1
demo076,六角 承禎,user,0
demo077,尼子 経久,user,0
demo078,尼子 晴久,user,0
demo079,山中 鹿介,user,0
demo080,吉川 元春,user,0
demo081,小早川 隆景,user,0
demo082,毛利 輝元,user,0
demo083,清水 宗治,user,0
demo084,陶 晴賢,user,0
demo085,大内 義隆,user,0
demo086,鍋島 直茂,user,0
demo087,龍造寺 隆信,user,0
demo088,立花 宗茂,user,0
demo089,立花 道雪,user,0
demo090,高橋 紹運,user,0
demo091,大友 宗麟,user,0
demo092,島津 義久,user,0
demo093,島津 家久,user,0
demo094,島津 歳久,user,0
demo095,伊東 義祐,user,0
demo096,相良 義陽,user,0
demo097,有馬 晴信,user,0
demo098,大村 純忠,user,0
demo099,松浦 隆信,user,0
demo100,長宗我部 盛親,user,1
demo101,片倉 小十郎,user,0
demo102,伊達 成実,user,0
demo103,鬼庭 左月斎,user,0
demo104,蘆名 盛氏,user,0
demo105,佐竹 義重,user,0
demo106,佐竹 義宣,user,0
demo107,北条 氏政,user,0
demo108,北条 氏直,user,0
demo109,北条 綱成,user,0
demo110,風魔 小太郎,user,0
demo111,本多 忠勝,user,0
demo112,榊原 康政,user,0
demo113,井伊 直政,user,0
demo114,酒井 忠次,user,0
demo115,鳥居 元忠,user,0
retired01,退職者 テスト,user,1
user01,山田 太郎,user,0
user02,佐藤 花子,user,0
user03,鈴木 一郎,user,0
